Skills,Education,Experience,ID,Category
. I am a systematically savvy management/ sales/ customer service Individual with multiple leadership experiences. I am qualified for career,al,MANAGER,47133747,ADVOCATE
. Versed in advocacy andÂ case management . Desires a challenging,"on victim's rights, victim's",asÂ Multicultural VictimÂ Â Advocate and exceptional people skills. Versed in advocacy andÂ case management . Desires a challenging,13967854,ADVOCATE
Strong organizational skills Seasoned in conflict resolution,and status on previously submitted pre-authorizations or pre-determination requests.,Benefit Advocate,49486820,ADVOCATE
in retail and call center environment. Expert computing and technology skills in,"Bachelor's Degree : Business Administration , May, 2013 Strayer University ï¼​ City , State , USA",Increased client engagement in all Active Health products and services sales by 98%. each quarter.,24754689,ADVOCATE
"demonstrated by18 years of experience, verifying insurance coverage,","Bachelor of Science : Health Care Administration with Concentration in Management , 1991 University of Phoenix ï¼​ City , State",performing medical clerical duties and supporting 5 physicians in a busy,23427369,ADVOCATE
Customer service expert Customer-focused,and Training,in,54067174,ADVOCATE
", motivating others in achieving high","Bachelor of Science : Electrical Engineering , November 1997 Milwaukee School of Engineering ï¼​ City , State Electrical Engineering","3 years of RF Optimization and 8 years of CDMA Cell FOA (First Office Application), working on",32965335,ADVOCATE
"10 key, Administrative Assistant, attention to detail, Billing, CPR certified, CPT, data entry, data base, delivery, diagnosis, dispatching,",al training.,Customer Service Agent,17847636,ADVOCATE
Accomplishments,"module Compiled records, collects data, and prepares",Community Advocate,20138606,ADVOCATE
"Chinese, Conferences, Clients, English, Meetings, Access, Excel, Microsoft Office, PowerPoint, Word, Business Presentations, Progress, Quality,",", mental health, etc. to the appropriate professionals.",Company Name January 2015 to Current Court Appointed Special Advocate,18997135,ADVOCATE
"Microsoft Office, Word, Excel, Outlook, Data Entry",", job training,",Case Manager/Outreach Advocate,20604208,ADVOCATE
. Multi-disciplinary,efforts.,Market Consultant - Healthcare Advocate,77439230,ADVOCATE
"necessary to accurately calculate fractions, ratios, percentages and totals.","Bachelors : Behavior Science , March 2015 Bellevue University ï¼​ City , State Behavior Science",Lead Pharmacy Technician Advocate - Supervisor,20544228,ADVOCATE
Strong problem solver Microsoft Office proficiency,"Bachelor of Arts , Political Science Pre-Law 2017 University of New Orleans - City , State","with over 10 years in high-level executive support roles. Organized, professional, and committed to delivering high quality results with",29415426,ADVOCATE
Seasoned in conflict resolution,al Background,"in retail, real estate, medical, insurance and sales customer service.",28206098,ADVOCATE
Customer service,and Training,Skills,22042181,ADVOCATE
. Fearless Child Family Advocate comfortable taking a stand against threats to a child's safety or well-being. Works directly,and family reunification activities.,Served many program participants who went on to earn high school diplomas or GEDs.,10186968,ADVOCATE
"child care, Council, government, Meetings, money, progress, sales, social services, staffing","by explaining to the parents that children's daily attendance is important to learning,",04/2011 to Current,31040875,ADVOCATE
Filing and data archiving,"High School Diploma : Education. I Coastal Carolina University ï¼​ City , State , US",Proficient in cash management SEIN,14146106,ADVOCATE
and confidentiality. I am very experienced with,"High School Diploma : General , 2000 Jefferson City High School - City , State , Cole",that is great with communication skills and confidentiality. I am very experienced with,36694627,ADVOCATE
"academic, Active Directory, anti-virus, audio, cables, cabling, hardware upgrades, computer hardware, client, clients, Database, documentation,",.,Customer Success Advocate,26071861,ADVOCATE
to international company with customer focus. I have no fear for changes and that is why I would,2008,"on the manufacturing and IT companies and knowing materials, finance,sales and supply",20324037,ADVOCATE
and open communication are essential functions of,department,Patient Advocate,20765795,ADVOCATE
. Track record of achieving exceptional,"Some College (No Degree) : Marketing/Accounting Louisiana State University - City , State","Marketing/Sales Consultant looking to leverage 35 years of marketing/sales/production, into a professional Consultant role in the",24946537,ADVOCATE
Excel and Google Sheets Marketing,"Bachelor of Arts : US History Emory University - City , State",leading cross-functional teams in the political campaign world. In that,18090899,ADVOCATE
and experience.,"and Training
1985",will prove to be an asset. I am seeking a position that will provide a variety,22259475,ADVOCATE
Talent assessments,"B.A : Psychology 2015 Ashford University , City , State GPA: GPA: 3.73","Company Name City , State HR - Shared Services Supervisor 01/2014",35344611,ADVOCATE
Process evaluation,High School Diploma : 05/1982,on fast paced Dual Diagnosis /Chemical Dependency Unit and 13 years in Med-,75435017,ADVOCATE
Trained in compounding all intravenous and chemotherapy admixtures.,and Training,"in customer service, administration, retail; long-term care; and",17254634,ADVOCATE
Excel spreadsheets,6 1990,in,36392131,ADVOCATE
Phlebotomy knowledge Sharp critical thinker,"al opportunities, and experiential growth opportunities.",,13809698,ADVOCATE
Excellent classroom management Positive atmosphere promotion,and Training,including 18 years of training. Interactive and engaging high,17911230,ADVOCATE
Fast data entry,,as an office manager/tax preparation worker and,73448369,ADVOCATE
", proven strength in",".Â Specialized training in pediatric primary care, chronic disease management, sports medicine,","excellent physical assessment skills, proven strength in",15958967,ADVOCATE
", while utilizing the skills I have acquired throughout my career to help propel this company to new heights. Recently earned ""Recognizing",2009,Eagerly ready to submerge into gaining new,90468982,ADVOCATE
.,"on procedures, medications and other physician instructions","managing company reputation with customers. Highly efficient and accurate with strong planning, problem-solving and communication skills.",23804341,ADVOCATE
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â,al and joyful experience. Balanced the needs of multiple customers simultaneously in a fast-paced retail environment.,Community Advocate Nov 2015 to Current,12171093,ADVOCATE
and appropriate,"Bachelor of Arts , Historical Theology May 2007 Moody Bible Institute ï¼​ City , State Historical Theology",Customer Service Advocate Mar 2016,14176254,ADVOCATE
to work with and grow with your team.,centers located in Long Island New,I have a outstanding track record of exceptional,24763208,ADVOCATE
Administrative,"High School Diploma : Business/ Computers Camden County High School ï¼​ City , State",Express Scripts,10818478,ADVOCATE
demonstrated by 6 years experience as a teacher/parent liaison.,and Training,as a teacher/parent liaison.,75950464,ADVOCATE
"Balance, Benchmarking, BTS, budget, Contracts, Council, Counseling, customer satisfaction, databases, database, delivery, Facilities",.,"Program, presented by Baylor Health Care System",24695561,ADVOCATE
"Health promotion, nutrition counseling, exercise testing & prescription, health and fitness speaker, Microsoft Office (Excel, PowerPoint, Word)",", clinical nutrition and exercise physiology.","Accountable, organized, and responsible with a strong",17165107,ADVOCATE
. Meets deadlines and works with a high level of multicultural,tutoring for a child performer to make sure the child was able to keep up with their,Company Name January 2011 to August 2012 Child Performer Welfare Advocate,23577836,ADVOCATE
"who enjoys working as a team-player, and desires to work","al and other informational resources Ensure that participating child medical, health and dental requirements are met Maintain",interviewer and trainer,24588864,ADVOCATE
. Exhibits dependability in performing work and,"Associate of Science : Truckee Community College - Psychology City , State
1995 Associate of Arts : Southwester Polytechnic Institute - General Studies City , State","Transitional Housing Advocate 09/2013 ï¼​ Current Company Name City , State",15727656,ADVOCATE
. Effective manager of expense and budget goals.,"Masters : Keller Graduate School of Management / Tinley Park, IL - Human Resource Management City , State , US","Human Resources Manager 08/2012 ï¼​ Current Company Name City , State",38059130,ADVOCATE
"and mental health issues. Motivate and able to bridge student experiences, academic lessons and subjects",and educational background of,academic lessons and subjects,18725071,ADVOCATE
and enjoys challenges and learning new concepts and skill sets.,"Master of Science , Nursing 2017 University of St. Francis ï¼​ City , State Family Nurse Practitioner",Summary,46772262,ADVOCATE
are valued and can,"Associate of Science : Health Administration El Centro Community College City , State , usa","Customer Service Advocate 09/2014 to 03/2015 Company Name City , State",15337481,ADVOCATE
", team work skills, also",and Training,"for me. I gathered leader ship skills, team work skills, also",49475708,ADVOCATE
"administrative, C, Community Health, clients, direction, logistics, meetings, mentor, Works, Needs Assessment, processes, public relations, quantitative analysis, simulation, treatment plans",and Training,"with the public health field, resulting in improved patient care and increased company rate of",53169257,ADVOCATE
. Excellent communication skills along with,"Specialist/Customer Service Rep , 01/2009 to 01/2010 Company Name ï¼​ City , State","Patient Advocate , 09/2014 Company Name ï¼​ City , State",28974459,ADVOCATE
& Attributes: Developed and,"University of Houston Clear Lake ï¼​ City , State , US Bachelor : Interdisciplinary Bachelor of Interdisciplinary Studies EC-6 Generalist w EC-12",10/2012 - Current,78538268,ADVOCATE
Data analysis Business artifacts documentation,"and Training
1976",12/2002 to 12/2017,11963737,ADVOCATE
.,B .S : Computer Science B .S (Computer Science ),specializing in CLOUD/Aix/LINUX/Solaris and WINDOWS Administration in Production Support of various,44115326,ADVOCATE
* Proficient in managing,and status on previously submitted pre-authorizations or pre-determination requests,"in reviewing, updating or",35474904,ADVOCATE
. Experienced in applying principles of sociology to,", management and marketing problems.",in applying principles of sociology to,13115648,ADVOCATE
that I've acquired and help others maximize their skills and potential. Ambitious,5 1991,,19234823,ADVOCATE
training program to over 300 parents annually Secured over 100k in funding for parent advocacy,"Advocate 01/2009 to 01/2011 Company Name City , State","Organizer and Capacity Building Strategist 01/2011 Company Name City , State",28871170,ADVOCATE
"â€¢Problem solving
â€¢Adaptability
â€¢Collaboration
â€¢Time management
â€¢Leadership","BBA : Marketing , 2014 University of Central Arkansas - City , State , Faulkner",Customer Advocate,20272792,ADVOCATE
in order to positively contribute to the,"Bachelor of Arts : Majors: Fine Art and Biology , 1985 Doane College - City , State",Customer Advocate,11188218,ADVOCATE
Education,August 2012,02/2013 to Current,37333719,ADVOCATE
"account management, Business Development, business operations, CISCO, International Business, logistics, Oracle, purchasing, Sales,",al and personal loans.,,91051945,ADVOCATE
", leadership, interpersonal skills, communication",related to wound care management.,*Maximize corporate profit by achieving sales revenue targets and grow,19108760,ADVOCATE
". Highly trustworthy, ethical,",Business Administration Miami Dade College - City,"working in fast-paced environments demanding strong organizational, technical, and interpersonal skills. Highly trustworthy, ethical,",38698573,ADVOCATE
Fluent in conversational Spanish,"al degree from Loyola University Chicago and estimated
4 years experience in the MICU (2 years as a nursing care technician and working as a MICU RN since September 2013), I believe I am highly",from your institution's School of Anesthesia. I wish to challenge my flexibility during critical,37640804,ADVOCATE
"accounts payables, accounts receivables, administrative, benefits, billing, oral, customer service, customer support, database, documentation,","and Training
2009",01/2012 - Current,34970271,ADVOCATE
"acquisitions, agency, Billing, Billings, clerical, Coach, coaching, clients, email, Senior Management, filing, financial, Hiring, Human Resources, HR,",will allow me to make an,and education will allow me to make an,38291889,ADVOCATE
in order to handle difficult calls courteously and professionally.,courses to train peers in various skincare brands.,Customer Care Advocate 04/2019 to Current,72652441,ADVOCATE
.,"Masters of Science , Public Service Management, Healthcare Administration 06/04 DePaul University Public Service Management, Healthcare","in healthcare, business development, marketing and planning analysis.",80503242,ADVOCATE
", goals and planning for survivors of domestic violence and sexual assault,",and Training,"developing and facilitating groups for many age groups and populations, and excellent outreach background.",13072354,ADVOCATE
in a safe and positive learning environment.,2014,"Accomplishments: chosen by Girls LEAD to facilitate a group of young female campers focused on multi-cultural leadership, service, and",13593241,ADVOCATE
can be utilized to provide a positive and effective team,situations.,and leadership skills can be utilized to provide a positive and effective team,27182111,ADVOCATE
"such as, cooking, household chores, laundry, personal hygiene, interpersonal communication, and the effects of domestic violence as well as",",",01/2015 - Current,37560528,ADVOCATE
". Trustworthy, ethical and discreet, committed to superior Leadership, customer service, and technical support while working as","Logistics and Supply Chain Management - Post Secondary Training Certificate 2011 Florida State College at Jacksonville - City , State","working in a fast past environment, demanding strong organizational, technical and",10344379,ADVOCATE
", as well as aqcired sills, and ofer new challeges",",","and education,",95970987,ADVOCATE
Superb sales professional Store planning and design Strong communication skills Detail-oriented Personnel training and development Time,"and Training
1983",03/2015 to 10/2016,97405769,ADVOCATE
", excellent time management and problem-solving skills. Conscientious",. A respectful Family Advocate offering case management and crisis intervention skills.,,29173771,ADVOCATE
with a growing company. To manage people and interface with customers while using my,2014,01/2015 to Current,74191424,ADVOCATE
", emotional regulation, and sexual abuse","al support groups consisting of 6Â to 10 clients focusing on coping skills, emotional regulation, and sexual abuse",09/2014 to Current,15313140,ADVOCATE
"allergies, Attention to detail, CPT, clients, emotional support, forms, home health, hospice,ICD-9, ids, insurance, leadership, law, Medical",and Training,in the healthcare field and customer relations. Skilled in,12544735,ADVOCATE
. I have a proven track record,and Training,Senior Application Specialist Mar 2014,24124250,ADVOCATE
"Word programs (including Excel and Access), EPIC and other electronic medical records, and the database Efforts to Outcome (ETO).",al resources regarding interpersonal violence.,Bilingual Domestic Violence Advocate Sep 2015 to Nov 2016,21614256,ADVOCATE
Effective multicultural communication & interaction skills Ability to,1995,"in Domestic Violence advocacy, conflict resolution, Trauma counseling & community",75057933,ADVOCATE
"account reconciliations, accounting, Accounts Payable, apollo, auditing, benefits, billing system, coach, com, Credit, client, customer satisfaction,",GED apollo-resume.co : 1996,"in a fast-paced, team-based environment high call volume environments.",19063156,ADVOCATE
with over,"Bachelor's Degree , Business and Managerial Economics, Human Services May 2012 University of Phoenix ï¼​ City , State Business and",customer service specialist with background in providing advice on diverse customer situations.,24410405,ADVOCATE
"Goal-driven leader who maintains a productive climate and confidently motivates, mobilizes, and coaches employees to meet high",and Training,"in management in the Criminal Justice and Mental Health disciplines Developed innovative ""Delayed Sentencing"" and
""Aftercare"" programs for Oklahoma County and surrounding courts Over six years managing a surety company (Bail Bond and Recovery) Proven",38860712,ADVOCATE
; and over 10 years in social services within,"Bachelor of Arts , Psychology /minor Social Work 2012 GOVERNOR STATE UNIVERSITY ï¼​ City , State Psychology /minor Social Work",accompanied by,10659182,ADVOCATE
to achieve career,al Background,"includes performing needs assessments, gathering appropriate documents to assess efficiency, and",13909762,ADVOCATE
". High-energy,","B.A. , Psychology 1995 Bethany College ï¼​ City , State , US âž¢ Bethany College, Bethany, West Virginia âž¢ B.A. 1995-Psychology","in Â offering outstanding presentation, communication and cross-cultural team management skills. High-energy,",28111403,ADVOCATE
",","Masters of Science : Criminal Justice 2013 Saint Josephs University City , State , US Masters of Science, Criminal Justice 2012-2013 Saint","managing heavy case loads, working closely with social services and criminal justice agencies and program",16332348,ADVOCATE
Detail-oriented Goal-oriented,"Bachelor of Science : Special and Elementary Education , 2011",one year leading an international,89508407,ADVOCATE
Leadership,"Bachelor's Degree , Social Work St. Bridget's College ï¼​ City , Philippines","Has a contagious energy that surrounds the environment she works in. E xperienced in high-volume, multi-unit, retail and",40088790,ADVOCATE
", superb communication skills and interest in management position with the reputed organization",and Training,"Patient Service Representative 03/2015 to Current Company Name City , State",13342150,ADVOCATE
.,"opportunities
â€¢ Identify, document and monitor process improvements
â€¢Maintain records, reports, or files
â€¢ Moderate to heavy keying required.
â€¢ 9+ years' experience in health insurance, provider's office (handling medical coding, filing insurance claims or referrals) or a managed","Strong analytical, documentation and research skills.",14708590,ADVOCATE
,and Training,Company Name September 2015 PH Inpatient/Financial Advocate Supervisor,17021141,ADVOCATE
Skills Used,"and Training
2015",08/2015 to Current,26456474,ADVOCATE
"as in the costumer service industry to prepare for my career in the future. Long term, to becomeÂ an RN in pediatrics",2013,student,20626794,TEACHER
Microsoft Office,"al assessments, similar to report cards, to each parent.",in kindergarten,17311685,TEACHER
.,and Training,"Company Name City , State Pre-Service Teacher 03/2017 to 04/2017",69532425,TEACHER
* Classroom Management & Assessment * Special Education/Teacher for the Visually Impaired * Elementary &,requirements and behavioral modification practices. Empathetic professional who is accommodating to the development of lesson plans.,"Inclusion Teacher 01/2010 to 01/2011 Company Name City , State",20399718,TEACHER
"Filing and data archiving,Â Employee training and development,Â Critical thinker,Â Microsoft Office (Excel, Publisher, PowerPoint,",students.,"supplying thorough, organized",19464810,TEACHER
". Reliable, organized and personable.","Bachelor of Arts : History & Social Studies Education May 2012 Longwood University City , State , United States","Teacher 12/2014 to Current Company Name City , State",34745915,TEACHER
Creative Lesson Planning Customer Service,"al, office, and customer service environments. Degree in social work and TESOL certified, teaching English to speakers of other",in,22884757,TEACHER
"and talents in order to plan, direct, and manage the procurement of food products, equipment, and services that meet the requirements",al philosophy and goals of our district as related to TEKS education requirements.,Served as student mentor and counselor for students when academic problems and personal adjustments byÂ meeting with guardians to,20478831,TEACHER
"Games, Increase, Recruitment, Associate, Budget, Fundraising, Health And Wellness, Liaison, Recruiting, Arrangements, Exchange, Progress,",al,Company Name January 2014 to January 2015 Associate Teacher,16820422,TEACHER
Prepare and present information logically,"Graduate Teaching Licensure , Education May 21, 2010 The College of Saint Scholastica ï¼​ City , State , US",well educated business minded career seeker who takes great pride in establishing strong and lasting relationships,49285644,TEACHER
with classroom work for each marking period/and for each grade,and ESL teachers to modify,English Teacher Oct 2014 to Jun 2015,58665241,TEACHER
.,"Bachelor of Science : Chemistry , 1985 University of Montevallo ï¼​ City , State Chemistry","teaching chemistry, physics and mathematics. Knowledgeable about finding new ways to keep",29486525,TEACHER
Excellent,and Training,"in a high volume, high stress work environment,",28063132,TEACHER
", incorporated a trip to Ramapo for Children to help instill those leadership qualities.",professional driven to create an environment that promotes hands-on learning for children at all stages of the learning process.,"Teacher , 09/2009 to Current Company Name ï¼​ City , State",13330982,TEACHER
",",al experience.,in high-level executive support roles. Organized and professional. Dedicated and focused employee and manager,22551979,TEACHER
Average computer literate,teaching/learning,working special needs students assessment,45286020,TEACHER
". Easily cultivates trusting and productive relationships with students, parents,","students, collaboratively teaching with special",08/2002,19918523,TEACHER
"conflict resolution, course development, critical thinking, curriculum development, Â instructional design, Â research, staff development, teaching,","University of Phoenix, 2007 Master of Arts : Education/Curriculum Instruction City , State , U.S.A.",Company Name June 2012 to Current Teacher,90363254,TEACHER
"Anatomy, aseptic techniques, Bachelors, Biology, calculators, calibration, content, credit, database, Department of Health, DNA, Educator,",teachers while executing modifications in student IEP and 504 plans.,11/2016 to Current,10504237,TEACHER
Approachable,"Masters in Education : Education , 1992 Government College of Education ï¼​ City , State , Pakistan",teacher,36569713,TEACHER
demonstrated by 10 years of teaching experience. Skilled special,Teacher with excellent communication skills demonstrated by 10 years of teaching experience. Skilled special,Skilled special,27531694,TEACHER
People skills,"Associate of Science : Computer Information Science AS , 2017 Everest University Online ï¼​ City , State , US",Assistant Teacher,13583538,TEACHER
and proven ability in making connections and,PROFESSIONAL SEEKING DIRECTOR POSITION Passionate educator who strongly believes,while effectively managing behavior and classroom organization.,28772892,TEACHER
development Educating - Audio-visual aid,Program goals.,"Specialty areas include [Classroom Management, Behavioral Development, Motivating and Mentoring.",21773106,TEACHER
and writing.,al,"History Teacher , 08/2006 to Current",27126818,TEACHER
",",", with strong emphasis in children's development. Consistently exceed teaching",in assessing and evaluating individual needs to provide an enhanced learning experience. Skilled in,28642819,TEACHER
CPR,al issues.,"Assistant Teacher 05/2014 to 11/2014 Company Name City , State Read stories to the children and taught them painting, drawing and crafts.",22056333,TEACHER
and experience,al process.,"to a client focused, dynamic organization.",27798860,TEACHER
"in classroom management, behavior modification and individualized","Teacher with proven skills in classroom management, behavior modification and individualized","Substitute Teacher , 06/2017 - Current Company Name - City , State",28933005,TEACHER
"Corporate Trainer, Member GE Capital President's Council, Quality Control and Customer Service Management. Motivational Strategist",from Kansas State University and Sterling College. (1999) I,music.I lead them to,34689720,TEACHER
Purposeful lesson planning,coordinating multiple groups.,,15850434,TEACHER
Used,"2010 Bachelor of Arts : Schreiner University - Education City , State","Teacher 08/2015 - Current Company Name City , State",28013287,TEACHER
"academic, budget, coaching, conferences, Curriculum development, educator, instruction, Lesson planning, lesson plans, Math, Access,",and Training,02/2016 to Current,28086303,TEACHER
"CPR, Creative thinking, delivery, First Aid, policies, Problem Solver, safety, teacher, Team player, phone, Time Management","professional with diverse experience in planning and implementing various activities for promoting physical, social,","in planning and implementing various activities for promoting physical, social,",96547039,TEACHER
.,"Chattahoochee Technical College Current City , State",Â professional Â with strong,51209395,TEACHER
in working with,"Dallas Theological Seminary-Houston Campus Master of Arts : Christian Education Christian Education
2013","as a youth worker, seeks an opportunity to enhance existing skills in working with",79663360,TEACHER
"Accounts Payable, Advertising, Bookkeeping, Budgets, Charts, Customer Service, Financial Reporting, Payroll, Spreadsheets",and grasp of materials.,,25729119,TEACHER
"Experience
08/2016 to Current",Summer School; James Irvin Education Center; Housed at Wesley Chapel High School.,"in administrative. Dedicated and focused employee who excels at prioritizing, completing multiple",19556300,TEACHER
"with children, parents and staff. Â Desire to inspire and motivate children to achieve their best. Â Able to inspire,",endorsement,"Teacher 01/2009 to Current Company Name City , State",36206485,TEACHER
.,al goals.,"Substitute Teacher | Company Name - City , State | 08/2015 - 03/2020",45987048,TEACHER
", knowledge, and experiences as a teacher to advance","Plan IEP meetings with administrators, faculty, parents, and other parties involved to",as a teacher to advance,12467531,TEACHER
"used: self-direction, team player, trouble shooting, record keeping and problem solving; management of volunteer base that ran groups",and reinforce core concepts.,Company Name - Substitute Teacher 01/2008 - Current,53129155,TEACHER
Recruiting,Service Award in 2010,09/2012 to 06/2015,20230207,TEACHER
Creative at lesson planning and hands-on instruction.,"Bachelor of Arts : Childhood Education 1-6 2007 Brooklyn College City , State Minor in Psychology.","Teacher Current Company Name City , State",35421497,TEACHER
that have helped a plethora of teachers and students succeed.,"University of South Florida 2002 Bachelor of Science : Varying Exceptionalities& ESOL City , State","Hillsborough Alliance for Black School Educators, HABSE Teacher of the Year 2016-2017",86322251,TEACHER
Strong interpersonal skills,Accomplishments,"Spanish teacher 10/2003 to Current Company Name City , State",25588694,TEACHER
and experience that will enable me to make a,Program) and Triennial (Eligibility) meetings.,that will enable me to make a,63391085,TEACHER
.,curriculum for special-needs students based upon a variety of instructional techniques and technologies.,addressing student needs and ensuring proper student social/emotional,22632070,TEACHER
.,.,"in the Social Studies field includes bachelor's degrees in Criminology, Political Science, as well as Secondary Social",66906212,TEACHER
.,al arena Calm under pressure,"teaching, counseling, and mentoring people from",29639533,TEACHER
.,"Coordinator position with a company that will allow me to fully manage curriculum development, coordinate on the job","Teacher 01/2014 to Current Company Name City , State",22510753,TEACHER
and many years of classroom,al priorities and issues.,classroom teacher certified and licensed to teach in the State of South Carolina. Demonstrated knowledge of successful,11943065,TEACHER
", work ethic, achievement where we it can be an asset to your company.",director to provide and maintain a positive and appropriate educational program that meets the,"Lead Teacher 12/2015 to 06/2016 Company Name City , State",11336022,TEACHER
"discharge planning, lesson plans, evaluate patients, supervision",and Training,08/2015 to 07/2017,15899269,TEACHER
"Â Counselor, academic, native Spanish speaker, Leadership, Workshops, goal setting and implementation, effectively work with parents, time",High School Spanish endorsement,"I have successfully taught English to students, both children and adults, Â that were new to the country as well as helped and supported them as",29267293,TEACHER
"charts, Excellent communication, conferences, Conflict resolution, Critical thinking, focus, instruction, instructional design, Lesson planning,",al progress with individual charts and files.,Teacher,62184086,TEACHER
"such as color, shape, number and letter recognition, personal hygiene, and social skills.",2013,August 2015,21531811,TEACHER
. Passionate about,al equity.Â,"detail-oriented Program Manager withÂ excellent communication, problem solving and strategic planning skills. Passionate about",13296856,TEACHER
Used,"Mixology , 2012 National Bartender's School ï¼​ City , State , USA",Accomplishments Pioneered the concept of a free standing chapel on a hotel property that was privately owned The Island Wedding,37660306,TEACHER
. Organized and driven with the innate ability to stay on task. Uses effective and efficient,students in both a general education,Central Missouri Math Educators club member MS Office proficient,74816727,TEACHER
"Microsoft Office, Microsoft Windows XP Professional (Word, Excel, PowerPoint, Publisher), Internet Browsers, Learning Google Chrome &","Tutor | Company Name | City , State",,13855004,TEACHER
. Teacher certified by the state of South Carolina to teach all general sciences. A motivator,M.Ed : Secondary Education 2007 Southern Wesleyan University - State Secondary Education GPA: 3.8,and training in coordination with my,13087952,TEACHER
Reliable and punctual,principles while complying with IEP and ARD goals.,04/2016 to Current,21611212,TEACHER
Loves children,(AAS OF ECE) certification. Proficient in: Weekly Educational Project,in a fast-paced consulting environment. Extensive experience supporting,23398843,TEACHER
"Child care, Family servicing, conferences, first aid, instructing, lesson plans, directing, meetings, Mental Health, management information system,",and well being.,"Teacher 08/2014 to Current Company Name City , State",23939133,TEACHER
"Computer literate, drivers, listening, natural, packaging, quality, rapport, teaching",and Training,Substitute Teacher 01/2014 to 11/2014,58708773,TEACHER
in English and Spanish which establish and maintain key working relationships across,al,"spearheading special events, projects, and initiatives in corporate and educational",23628651,TEACHER
Classroom management Creation of forms for data Payroll Schedule activities and field trips Maintain tuition data and receipts Knowledge of,. Passionate about child development and,in early childhood education. Passionate about child development and,19786924,TEACHER
", and involvement as a team player",Agency,TEACHER,16270906,TEACHER
in online training for a variety of,"Walden University Diploma Instructional Design City , State Instructional Design","human resourceÂ training professional with demonstrated success in developing, delivering and evaluating, corporate training",38750659,TEACHER
seeking,", administering injections (IM, ID,",proficient with,37402097,TEACHER
to a group of 7 students.Â,teachers to modify curricula for special education students according to Individual Education,fostering a cohesive student learning environment. Experience working with students of all abilities.,17481570,TEACHER
"Outlook, Excel, Word, PowerPoint, QuickBooks and OneNote",al development objectives.,09/2016 to Current,10527994,TEACHER
"I have a lot patience, I communicate really well with children, I can usually calm a stressful situation quickly.",Classroom management,Master Teacher Sep 2010 to Apr 2013,10909720,TEACHER
Conducted Peer Council with Youth Assigned Books based on Reading level Supported Students with Special Needs Engaged Student with,/Career goals of obtaining my BA in Psychology in order to demonstrate my passion working with,to become a more Proficient Educator/Administrator.,70892619,TEACHER
.,"al, or corporate environment.
Â Excellent written and oral communication skills.","working with corporations, law firms, and large and small businesses in all aspects of business",24240349,TEACHER
